region,weapon_type,attack_type
Southeast Asia,Explosives,Armed Assault
North America,Explosives,Bombing/Explosion
Middle East & North Africa,Explosives,Armed Assault
Sub-Saharan Africa,Firearms,Facility/Infrastructure Attack
Sub-Saharan Africa,Chemical,Assassination
North America,Firearms,Bombing/Explosion
Western Europe,Explosives,Armed Assault
Western Europe,Firearms,Facility/Infrastructure Attack
Western Europe,Explosives,Bombing/Explosion
Western Europe,Firearms,Bombing/Explosion
Middle East & North Africa,Firearms,Bombing/Explosion
Western Europe,Explosives,Bombing/Explosion
East Asia,Explosives,Armed Assault
Middle East & North Africa,Explosives,Bombing/Explosion
Middle East & North Africa,Chemical,Armed Assault
Sub-Saharan Africa,Explosives,Assassination
Central America & Caribbean,Fake Weapons,Assassination
Sub-Saharan Africa,Explosives,Unknown
South Asia,Explosives,Bombing/Explosion
Middle East & North Africa,Explosives,Bombing/Explosion
South Asia,Firearms,Bombing/Explosion
Southeast Asia,Explosives,Bombing/Explosion
Southeast Asia,Explosives,Armed Assault
Sub-Saharan Africa,Firearms,Bombing/Explosion
Middle East & North Africa,Explosives,Bombing/Explosion
Middle East & North Africa,Explosives,Bombing/Explosion
East Asia,Firearms,Armed Assault
Sub-Saharan Africa,Explosives,Hostage Taking
Middle East & North Africa,Firearms,Armed Assault
North America,Firearms,Bombing/Explosion
Sub-Saharan Africa,Explosives,Bombing/Explosion
Middle East & North Africa,Firearms,Armed Assault
Middle East & North Africa,Explosives,Armed Assault
Southeast Asia,Explosives,Bombing/Explosion
Southeast Asia,Melee,Bombing/Explosion
South Asia,Explosives,Facility/Infrastructure Attack
South Asia,Explosives,Bombing/Explosion
Middle East & North Africa,Fake Weapons,Bombing/Explosion
Sub-Saharan Africa,Firearms,Bombing/Explosion
Middle East & North Africa,Incendiary,Bombing/Explosion
Sub-Saharan Africa,Chemical,Hijacking
South Asia,Explosives,Bombing/Explosion
Middle East & North Africa,Explosives,Bombing/Explosion
South Asia,Explosives,Bombing/Explosion
Southeast Asia,Explosives,Bombing/Explosion
Middle East & North Africa,Firearms,Bombing/Explosion
Central America & Caribbean,Melee,Bombing/Explosion
Sub-Saharan Africa,Explosives,Bombing/Explosion
South Asia,Explosives,Bombing/Explosion
Southeast Asia,Firearms,Bombing/Explosion
Sub-Saharan Africa,Chemical,Armed Assault
South Asia,Explosives,Bombing/Explosion
South Asia,Explosives,Facility/Infrastructure Attack
Western Europe,Explosives,Bombing/Explosion
North America,Firearms,Armed Assault
South Asia,Explosives,Bombing/Explosion
North America,Explosives,Unknown
East Asia,Incendiary,Armed Assault
East Asia,Explosives,Facility/Infrastructure Attack
Southeast Asia,Firearms,Armed Assault
Western Europe,Firearms,Unarmed Assault
Southeast Asia,Firearms,Hostage Taking
Sub-Saharan Africa,Explosives,Bombing/Explosion
South Asia,Explosives,Bombing/Explosion
South Asia,Firearms,Bombing/Explosion
South Asia,Firearms,Bombing/Explosion
Middle East & North Africa,Firearms,Bombing/Explosion
Western Europe,Explosives,Bombing/Explosion
Eastern Europe,Firearms,Bombing/Explosion
Middle East & North Africa,Firearms,Bombing/Explosion
Eastern Europe,Explosives,Bombing/Explosion
Middle East & North Africa,Firearms,Armed Assault
Sub-Saharan Africa,Explosives,Facility/Infrastructure Attack
East Asia,Explosives,Armed Assault
